Date,Open,High,Low,Close,Adj Close,Volume
2020-05-03,12813.778320,13076.464844,12596.055664,12576.126953,12576.126953,66576018255
2020-05-04,12573.690430,12618.086914,12212.497070,12551.246094,12551.246094,64383494855
2020-05-05,12551.496094,12740.024414,12452.610352,12642.561523,12642.561523,60591228695
2020-05-06,12648.699219,13337.791016,12602.535156,13128.228516,13128.228516,69930093790
2020-05-07,13118.501953,13969.814453,12917.110352,13904.590820,13904.590820,85388681944
2020-05-08,13883.133789,13931.151367,13611.698242,13795.973633,13795.973633,72578485493
2020-05-09,13793.506836,13896.757813,13429.667969,13448.245117,13448.245117,65274061291
2020-05-10,13444.421875,13450.605469,11767.841797,12194.486328,12194.486328,88188810414
2020-05-11,12193.239258,12639.668945,11745.080078,12061.869141,12061.869141,80096322005
2020-05-12,12073.914063,12553.664063,12016.458008,12397.937500,12397.937500,59342846267
2020-05-13,12399.218750,13138.758789,12399.218750,13062.200195,13062.200195,64195297371
2020-05-14,13064.089844,13785.376953,13053.153320,13659.963867,13659.963867,79187547236
2020-05-15,13660.762695,13691.700195,13066.924805,13162.552734,13162.552734,67954478024
2020-05-16,13169.667969,13493.037109,13064.848633,13228.951172,13228.951172,51020709976
2020-05-17,13226.010742,13858.144531,13190.199219,13627.938477,13627.938477,56486445444
2020-05-18,13634.921875,13945.718750,13466.346680,13559.828125,13559.828125,58311257556
2020-05-19,13560.508789,13682.080078,13308.701172,13560.936523,13560.936523,54715061711
2020-05-20,13555.766602,13664.706055,13141.047852,13241.133789,13241.133789,50815353532
2020-05-21,13240.798828,13300.104492,12369.597656,12666.333008,12666.333008,54848196095
2020-05-22,12664.342773,12934.789063,12610.040039,12857.904297,12857.904297,41742535872
2020-05-23,12861.383789,13025.828125,12767.631836,12895.304688,12895.304688,38825945503
2020-05-24,12899.500000,13006.087891,12291.237305,12293.215820,12293.215820,45477123670
2020-05-25,12287.257813,12519.431641,12189.145508,12445.063477,12445.063477,43716845839
2020-05-26,12448.767578,12506.549805,12102.194336,12177.468750,12177.468750,40776269464
2020-05-27,12180.677734,12685.893555,12177.170898,12630.372070,12630.372070,45041320319
2020-05-28,12635.774414,13149.148438,12594.927734,13121.026367,13121.026367,47338134419
2020-05-29,13124.614258,13196.648438,12885.617188,13000.034180,13000.034180,45306900255
2020-05-30,12999.744141,13364.875977,12900.328125,13359.895508,13359.895508,45067717513
2020-05-31,13359.470703,13359.798828,12999.261719,13034.292969,13034.292969,38262651032
2020-06-01,13037.801758,13849.408203,12830.777344,13812.488281,13812.488281,47818587074
2020-06-02,13806.653320,13741.628906,12767.561523,12873.860352,12873.860352,52870709560
2020-06-03,12879.205078,13066.379883,12789.360352,13031.103516,13031.103516,33745915782
2020-06-04,13029.938477,13332.889648,12865.560547,13233.329102,13233.329102,35000969142
2020-06-05,13232.760742,13301.333008,12960.170898,12972.788086,12972.788086,31553918280
2020-06-06,12971.945313,13117.607422,12872.785156,12956.878906,12956.878906,27431833128
2020-06-07,12955.971680,13094.593750,12700.593750,13071.933594,13071.933594,33507803432
